組別,順位,決標金額_未稅
A組,,810163781
B組,,1642353186
C組,,3344274027
D組,,3203456625
A組,,777391600
B組,,1569613080
C組,,3224148000
D組,,3111952200
A組,最低標,309708000
A組,次低標,270380000
A組,第三低標,196640000
B組,最低標,548379000
B組,次低標,627731000
B組,第三低標,391092000
C組,最低標,1127175000
C組,次低標,807272000
C組,第三低標,1288200000
D組,最低標,2329810000
D組,次低標,774732000
A組,,810163781
B組,,1642353186
C組,,3344274027
D組,,3203456625
A組,,777391600
B組,,1569613080
C組,,3224148000
D組,,3111952200
A組,最低標,309708000
A組,次低標,270380000
A組,第三低標,196640000
B組,最低標,548379000
B組,次低標,627731000
B組,第三低標,391092000
C組,最低標,1127175000
C組,次低標,807272000
C組,第三低標,1288200000
D組,最低標,2329810000
D組,次低標,774732000
