Stock1_Name,Stock1_Code,Stock2_Name,Stock2_Code,Correlation
華夏,1305,亞聚,1308,0.9150817260975093
恆大,1325,毛寶,1732,0.8764287397740582
亞聚,1308,台達化,1309,0.8535657766453512
華夏,1305,台達化,1309,0.8397208714576844
合晶,6182,環球晶,6488,0.8033081355778706
中興電,1513,亞力,1514,0.7730073592465827
華榮,1608,第一銅,2009,0.7662564449551833
鴻海,2317,鴻準,2354,0.7605045388568333
東元,1504,中興電,1513,0.7259420152749658
東元,1504,亞力,1514,0.7231449511668242
新紡,1419,士紙,1903,0.7082674469159903
新鋼,2032,允強,2034,0.7065336050703667
訊達,6140,驊宏資,6148,0.7046033183318807
華新,1605,華榮,1608,0.699375856358331
中環,2323,輔信,2405,0.6953060014333124
華碩,2357,藍天,2362,0.6935224800829992
正隆,1904,永豐餘,1907,0.6930207203970156
中鋼,2002,允強,2034,0.692802679999236
華紙,1905,榮成,1909,0.6911487245579282
華榮,1608,大亞,1609,0.6911428919946322
華新,1605,第一銅,2009,0.6865854524811806
華榮,1608,宏泰,1612,0.6832350304722737
金像電,2368,台光電,2383,0.6819353662926436
華電,1603,華榮,1608,0.679905132701909
中鋼,2002,新鋼,2032,0.6788842555188264
華碩,2357,宏碁資訊,6811,0.6701974748794703
美亞,2020,允強,2034,0.6629444834571923
上曜,1316,華友聯,1436,0.6625366248191693
燿華,2367,兆赫,2485,0.6604139270766037
光寶科,2301,台達電,2308,0.6585972944970312
華友聯,1436,海悅,2348,0.6579024642112482
台達電,2308,建準,2421,0.6569471171185643
巨庭,1539,錩泰,1541,0.6555744833826423
東元,1504,宏泰,1612,0.6540337295028281
東元,1504,大亞,1609,0.6533226879143148
永豐餘,1907,榮成,1909,0.6530810559749033
金像電,2368,台燿,6274,0.6521599011202113
台光電,2383,台燿,6274,0.6519840838307139
華榮,1608,中環,2323,0.6465611681970618
鴻海,2317,技嘉,2376,0.6455288163601545
中鋼,2002,威致,2028,0.6452433567270688
揚博,2493,朋億*,6613,0.6446293515901348
中興電,1513,宏泰,1612,0.6438280153637145
華榮,1608,合機,1618,0.6430323541670291
亞力,1514,飛宏,2457,0.6417887425025054
茂矽,2342,合晶,6182,0.6413519292774534
大亞,1609,宏泰,1612,0.6381798597285177
寶齡富錦,1760,冠軍,1806,0.6374366768805277
鴻準,2354,宏碁資訊,6811,0.6366327268517386
華碩,2357,廣達,2382,0.6354545845042694
東元,1504,華榮,1608,0.6313981484978775
昆盈,2365,廣明,6188,0.6300610153557525
昆盈,2365,佳能,2374,0.6297822843974322
華電,1603,宏泰,1612,0.6288269090519109
中鋼,2002,沛波,6248,0.626916616094137
精英,2331,藍天,2362,0.6268101218603496
美亞,2020,威致,2028,0.6236071895835704
華碩,2357,技嘉,2376,0.6225623142880592
中電,1611,宏泰,1612,0.6216524705539803
超豐,2441,京元電子,2449,0.6211419491587458
第一銅,2009,中環,2323,0.6209808369287712
東元,1504,中電,1611,0.620426837528759
中興電,1513,大亞,1609,0.6192602612908498
東元,1504,合機,1618,0.6191614333207678
佳能,2374,廣明,6188,0.6186171508211781
中興電,1513,合機,1618,0.6178769513308526
幸福,1108,宏泰,1612,0.6162479661128021
中興電,1513,飛宏,2457,0.6156863255308374
鴻準,2354,廣明,6188,0.6142399032726409
精英,2331,輔信,2405,0.6135612067593065
鴻準,2354,技嘉,2376,0.6121368815096482
