搜尋關鍵字,年份,歌手,歌名,專輯,發行日期,類型,YouTube搜尋網址
閩南語,2026,許富凱,講袂出喙的情話,講袂出喙的情話 - Single,2026-03-31,台灣流行樂,https://www.youtube.com/results?search_query=%E8%A8%B1%E5%AF%8C%E5%87%B1+%E8%AC%9B%E8%A2%82%E5%87%BA%E5%96%99%E7%9A%84%E6%83%85%E8%A9%B1+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
臺語流行,2026,許富凱,愛你敢有望 (feat. icyball 冰球樂團),愛你敢有望 (feat. icyball 冰球樂團) - Single,2026-04-16,台灣流行樂,https://www.youtube.com/results?search_query=%E8%A8%B1%E5%AF%8C%E5%87%B1+%E6%84%9B%E4%BD%A0%E6%95%A2%E6%9C%89%E6%9C%9B+%28feat.+icyball+%E5%86%B0%E7%90%83%E6%A8%82%E5%9C%98%29+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
臺語,2026,張語噥,寫予未來的情歌 (feat. 同理) [臺語台影集《人生只租不賣》主題曲],寫予未來的情歌 (臺語台影集《人生只租不賣》主題曲) [feat. 同理] - Single,2026-01-09,華語流行樂,https://www.youtube.com/results?search_query=%E5%BC%B5%E8%AA%9E%E5%99%A5+%E5%AF%AB%E4%BA%88%E6%9C%AA%E4%BE%86%E7%9A%84%E6%83%85%E6%AD%8C+%28feat.+%E5%90%8C%E7%90%86%29+%5B%E8%87%BA%E8%AA%9E%E5%8F%B0%E5%BD%B1%E9%9B%86%E3%80%8A%E4%BA%BA%E7%94%9F%E5%8F%AA%E7%A7%9F%E4%B8%8D%E8%B3%A3%E3%80%8B%E4%B8%BB%E9%A1%8C%E6%9B%B2%5D+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2026,周杰倫,那天下雨了,太陽之子,2026-03-25,華語流行樂,https://www.youtube.com/results?search_query=%E5%91%A8%E6%9D%B0%E5%80%AB+%E9%82%A3%E5%A4%A9%E4%B8%8B%E9%9B%A8%E4%BA%86+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語,2025,黃奇斌,若無你我欲去佗位,若無你我欲去佗位 - Single,2025-07-10,華語流行樂,https://www.youtube.com/results?search_query=%E9%BB%83%E5%A5%87%E6%96%8C+%E8%8B%A5%E7%84%A1%E4%BD%A0%E6%88%91%E6%AC%B2%E5%8E%BB%E4%BD%97%E4%BD%8D+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
閩南語,2025,陳勢安,無你的將來,無你的將來 - Single,2025-09-30,華語流行樂,https://www.youtube.com/results?search_query=%E9%99%B3%E5%8B%A2%E5%AE%89+%E7%84%A1%E4%BD%A0%E7%9A%84%E5%B0%87%E4%BE%86+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
閩南語,2025,蕭煌奇,你攏無咧看,你攏無咧看 - Single,2025-05-09,台灣流行樂,https://www.youtube.com/results?search_query=%E8%95%AD%E7%85%8C%E5%A5%87+%E4%BD%A0%E6%94%8F%E7%84%A1%E5%92%A7%E7%9C%8B+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
閩南語,2025,美秀集團,紙花 (音樂劇《釧兒》宣傳曲) [feat. 張芳瑜],紙花 (音樂劇《釧兒》宣傳曲) [feat. 張芳瑜] - Single,2025-10-22,音樂劇,https://www.youtube.com/results?search_query=%E7%BE%8E%E7%A7%80%E9%9B%86%E5%9C%98+%E7%B4%99%E8%8A%B1+%28%E9%9F%B3%E6%A8%82%E5%8A%87%E3%80%8A%E9%87%A7%E5%85%92%E3%80%8B%E5%AE%A3%E5%82%B3%E6%9B%B2%29+%5Bfeat.+%E5%BC%B5%E8%8A%B3%E7%91%9C%5D+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
臺語,2025,羅志祥,做伙,做伙 - Single,2025-10-21,台灣流行樂,https://www.youtube.com/results?search_query=%E7%BE%85%E5%BF%97%E7%A5%A5+%E5%81%9A%E4%BC%99+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
閩南語,2025,琳誼,帶你去逛街 (feat. 蕭煌奇),名偵探琳誼 My Ring World,2025-05-08,台灣流行樂,https://www.youtube.com/results?search_query=%E7%90%B3%E8%AA%BC+%E5%B8%B6%E4%BD%A0%E5%8E%BB%E9%80%9B%E8%A1%97+%28feat.+%E8%95%AD%E7%85%8C%E5%A5%87%29+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
閩南語,2025,潘信維 & 荒山亮,乾杯 (啉予焦),乾杯 (啉予焦) - Single,2025-04-11,台灣流行樂,https://www.youtube.com/results?search_query=%E6%BD%98%E4%BF%A1%E7%B6%AD+%26+%E8%8D%92%E5%B1%B1%E4%BA%AE+%E4%B9%BE%E6%9D%AF+%28%E5%95%89%E4%BA%88%E7%84%A6%29+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
臺語歌,2025,Theseus 忒修斯,朋友之歌 (劇集《拜六禮拜》片頭曲),朋友之歌 (劇集《拜六禮拜》片頭曲) - Single,2025-06-10,原聲帶,https://www.youtube.com/results?search_query=Theseus+%E5%BF%92%E4%BF%AE%E6%96%AF+%E6%9C%8B%E5%8F%8B%E4%B9%8B%E6%AD%8C+%28%E5%8A%87%E9%9B%86%E3%80%8A%E6%8B%9C%E5%85%AD%E7%A6%AE%E6%8B%9C%E3%80%8B%E7%89%87%E9%A0%AD%E6%9B%B2%29+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2025,Gareth.T & 攬佬SKAI ISYOURGOD,跟悲傷結了帳,跟悲傷結了帳 - Single,2025-10-23,嘻哈/饒舌,https://www.youtube.com/results?search_query=Gareth.T+%26+%E6%94%AC%E4%BD%ACSKAI+ISYOURGOD+%E8%B7%9F%E6%82%B2%E5%82%B7%E7%B5%90%E4%BA%86%E5%B8%B3+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
