搜尋關鍵字,年份,歌手,歌名,專輯,發行日期,類型,官方連結,試聽連結
閩南語,2026,許富凱,講袂出喙的情話,講袂出喙的情話 - Single,2026-03-31,台灣流行樂,https://music.apple.com/tw/album/%E8%AC%9B%E8%A2%82%E5%87%BA%E5%96%99%E7%9A%84%E6%83%85%E8%A9%B1/1886663270?i=1886663515&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/db/77/e8/db77e8fe-8e74-5b76-863f-f5eefce73d16/mzaf_9217829102824112517.plus.aac.p.m4a
閩南語,2026,許富凱,愛你敢有望 (feat. icyball 冰球樂團),愛你敢有望 (feat. icyball 冰球樂團) - Single,2026-04-16,台灣流行樂,https://music.apple.com/tw/album/%E6%84%9B%E4%BD%A0%E6%95%A2%E6%9C%89%E6%9C%9B-feat-icyball-%E5%86%B0%E7%90%83%E6%A8%82%E5%9C%98/1892350881?i=1892350885&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/f9/62/0d/f9620d89-079d-48b4-37d2-991ab9476cf5/mzaf_12174744397101087542.plus.aac.p.m4a
臺語,2026,張語噥,寫予未來的情歌 (feat. 同理) [臺語台影集《人生只租不賣》主題曲],寫予未來的情歌 (臺語台影集《人生只租不賣》主題曲) [feat. 同理] - Single,2026-01-09,華語流行樂,https://music.apple.com/tw/album/%E5%AF%AB%E4%BA%88%E6%9C%AA%E4%BE%86%E7%9A%84%E6%83%85%E6%AD%8C-feat-%E5%90%8C%E7%90%86-%E8%87%BA%E8%AA%9E%E5%8F%B0%E5%BD%B1%E9%9B%86-%E4%BA%BA%E7%94%9F%E5%8F%AA%E7%A7%9F%E4%B8%8D%E8%B3%A3-%E4%B8%BB%E9%A1%8C%E6%9B%B2/1862423809?i=1862423811&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/16/7e/85/167e8584-8fe2-8555-f3dd-322e5ee128ee/mzaf_15582247029822988084.plus.aac.p.m4a
台語,2025,黃奇斌,若無你我欲去佗位,若無你我欲去佗位 - Single,2025-07-10,華語流行樂,https://music.apple.com/tw/album/%E8%8B%A5%E7%84%A1%E4%BD%A0%E6%88%91%E6%AC%B2%E5%8E%BB%E4%BD%97%E4%BD%8D/1824122171?i=1824122176&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/3e/21/71/3e2171ea-bc67-6057-5c9c-4fb50fa54a4c/mzaf_2872019907143134154.plus.aac.p.m4a
閩南語,2025,陳勢安,無你的將來,無你的將來 - Single,2025-09-30,華語流行樂,https://music.apple.com/tw/album/%E7%84%A1%E4%BD%A0%E7%9A%84%E5%B0%87%E4%BE%86/1840383394?i=1840383397&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/52/a9/01/52a90152-e095-d501-b79d-489937655d2d/mzaf_12904832445817750537.plus.aac.p.m4a
閩南語流行,2025,蕭煌奇,你攏無咧看,你攏無咧看 - Single,2025-05-09,台灣流行樂,https://music.apple.com/tw/album/%E4%BD%A0%E6%94%8F%E7%84%A1%E5%92%A7%E7%9C%8B/1810005328?i=1810005331&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/90/19/29/901929d5-71bd-c464-36bc-0e92eac28967/mzaf_5693346988281075286.plus.aac.p.m4a
閩南語,2025,美秀集團,紙花 (音樂劇《釧兒》宣傳曲) [feat. 張芳瑜],紙花 (音樂劇《釧兒》宣傳曲) [feat. 張芳瑜] - Single,2025-10-22,音樂劇,https://music.apple.com/tw/album/%E7%B4%99%E8%8A%B1-%E9%9F%B3%E6%A8%82%E5%8A%87-%E9%87%A7%E5%85%92-%E5%AE%A3%E5%82%B3%E6%9B%B2-feat-%E5%BC%B5%E8%8A%B3%E7%91%9C/1846302219?i=1846302222&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/90/9c/9d/909c9d7e-bb76-e95f-bdd0-bdfcaedfcdca/mzaf_10831896283787069631.plus.aac.p.m4a
臺語,2025,羅志祥,做伙,做伙 - Single,2025-10-21,台灣流行樂,https://music.apple.com/tw/album/%E5%81%9A%E4%BC%99/1846559994?i=1846559996&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/56/1c/e0/561ce0f3-a794-4586-769c-427f8c698447/mzaf_9803618441874491237.plus.aac.p.m4a
閩南語,2025,琳誼,帶你去逛街 (feat. 蕭煌奇),名偵探琳誼 My Ring World,2025-05-08,台灣流行樂,https://music.apple.com/tw/album/%E5%B8%B6%E4%BD%A0%E5%8E%BB%E9%80%9B%E8%A1%97-feat-%E8%95%AD%E7%85%8C%E5%A5%87/1812598035?i=1812598038&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/f0/d3/32/f0d33256-d3fd-240b-3268-1501bfd30462/mzaf_16367561596239233565.plus.aac.p.m4a
閩南語,2025,潘信維 & 荒山亮,乾杯 (啉予焦),乾杯 (啉予焦) - Single,2025-04-11,台灣流行樂,https://music.apple.com/tw/album/%E4%B9%BE%E6%9D%AF-%E5%95%89%E4%BA%88%E7%84%A6/1805564594?i=1805564596&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/fc/d8/43/fcd843c9-de11-97f2-7c80-322c5cf26d59/mzaf_16007649928476821857.plus.aac.p.m4a
Taiwanese Hokkien,2025,Eric Sung,落雨的公路 Rainy Highway (台語 Taiwanese Hokkien R&B),落雨的公路 Rainy Highway (台語 Taiwanese Hokkien R&B) - Single,2025-12-30,R&B/靈魂樂,https://music.apple.com/tw/album/%E8%90%BD%E9%9B%A8%E7%9A%84%E5%85%AC%E8%B7%AF-rainy-highway-%E5%8F%B0%E8%AA%9E-taiwanese-hokkien-r-b/1865294345?i=1865294346&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/e9/9b/2a/e99b2afe-9de9-c491-4f8c-fabdaf02d579/mzaf_8573764001102189390.plus.aac.p.m4a
閩南語,2025,9m88,大濛的暗眠,《大濛》電影原聲帶,2025-11-27,原聲帶,https://music.apple.com/tw/album/%E5%A4%A7%E6%BF%9B%E7%9A%84%E6%9A%97%E7%9C%A0/1853523941?i=1853523963&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/90/30/d8/9030d8ce-ea4b-97d8-bbe7-5027636c0e32/mzaf_13714231829067044877.plus.aac.p.m4a
閩南語,2024,馬克SAVAGE.M,海岸,海岸 - Single,2024-03-29,雷鬼,https://music.apple.com/tw/album/%E6%B5%B7%E5%B2%B8/1737759391?i=1737759392&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/2e/26/f6/2e26f698-c568-5bbf-a18a-98e1085ee5c1/mzaf_3274261393175392867.plus.aac.p.m4a
臺語,2024,阿跨面,陷眠,心,2024-02-22,華語流行樂,https://music.apple.com/tw/album/%E9%99%B7%E7%9C%A0/1731770086?i=1731770409&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/51/0e/bc/510ebcb4-b3bf-0c9a-04dd-5cf99701ea93/mzaf_13206565997959571270.plus.aac.p.m4a
閩南語,2024,阿跨面,男子漢一匹,心,2024-02-22,華語流行樂,https://music.apple.com/tw/album/%E7%94%B7%E5%AD%90%E6%BC%A2%E4%B8%80%E5%8C%B9/1731770086?i=1731770628&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/08/50/b7/0850b7e8-5b05-0f5c-00d1-3171f4b0366a/mzaf_15726442038251721089.plus.aac.p.m4a
閩南語,2024,阿跨面,愛了傷過份,心,2024-02-22,華語流行樂,https://music.apple.com/tw/album/%E6%84%9B%E4%BA%86%E5%82%B7%E9%81%8E%E4%BB%BD/1731770086?i=1731770631&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/8c/df/9b/8cdf9b69-fdcf-893b-c6a3-fd1e6dddbfc1/mzaf_1551585872438656428.plus.aac.p.m4a
閩南語,2024,阿跨面,心竭 (feat. 阿德 & 阿任),心,2024-02-22,台灣流行樂,https://music.apple.com/tw/album/%E5%BF%83%E7%AB%AD-feat-%E9%98%BF%E5%BE%B7-%E9%98%BF%E4%BB%BB/1731770086?i=1731770416&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/64/32/8c/64328cce-2ce1-5dc0-a8ce-9359c2a1db3d/mzaf_7506045361220516760.plus.aac.p.m4a
閩南語,2024,阿跨面,心,心,2024-02-22,華語流行樂,https://music.apple.com/tw/album/%E5%BF%83/1731770086?i=1731770406&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/91/4a/d4/914ad475-6939-44eb-5d6c-993fbdcd704f/mzaf_8586547676933625694.plus.aac.p.m4a
閩南語,2024,阿跨面,九五家滿 (feat. 寶寶熊),心,2024-02-22,華語流行樂,https://music.apple.com/tw/album/%E4%B9%9D%E4%BA%94%E5%AE%B6%E6%BB%BF-feat-%E5%AF%B6%E5%AF%B6%E7%86%8A/1731770086?i=1731770400&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/b1/a9/48/b1a948de-d70e-1b7d-44a0-317034111ef5/mzaf_7526822740598803895.plus.aac.p.m4a
台語流行,2024,邱軍,運轉人生 (影集《華麗計程車行》插曲),情歌手,2024-02-23,華語流行樂,https://music.apple.com/tw/album/%E9%81%8B%E8%BD%89%E4%BA%BA%E7%94%9F-%E5%BD%B1%E9%9B%86-%E8%8F%AF%E9%BA%97%E8%A8%88%E7%A8%8B%E8%BB%8A%E8%A1%8C-%E6%8F%92%E6%9B%B2/1731074495?i=1731074668&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/06/aa/65/06aa65f9-7e8a-421b-14e1-a059901f6b72/mzaf_11102784067666980731.plus.aac.p.m4a
閩南語,2024,珂拉琪 Collage,Nine Sols,九日,2024-06-28,原聲帶,https://music.apple.com/tw/album/nine-sols/1753187376?i=1753187377&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/00/32/54/0032540c-d913-3a7c-28b2-238537bb3125/mzaf_565785581680255045.plus.aac.p.m4a
閩南語,2024,李竺芯,懸踏仔咬跤,Suí 水,2024-12-30,台灣流行樂,https://music.apple.com/tw/album/%E6%87%B8%E8%B8%8F%E4%BB%94%E5%92%AC%E8%B7%A4/1786938591?i=1786938599&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/50/80/bd/5080bd69-9c5e-68b5-ceed-18772254813d/mzaf_4528933401997994134.plus.aac.p.m4a
閩南語,2024,拍謝少年,噪音公寓,噪音公寓,2024-05-01,搖滾,https://music.apple.com/tw/album/%E5%99%AA%E9%9F%B3%E5%85%AC%E5%AF%93/1748096203?i=1748096453&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/51/8f/ca/518fcaf4-7716-f8ea-316f-62b0c4f61e78/mzaf_7200699352206233209.plus.aac.p.m4a
臺語,2024,拍謝少年,共身軀完全放予去 (feat. 鄭宜農),噪音公寓,2024-05-24,搖滾,https://music.apple.com/tw/album/%E5%85%B1%E8%BA%AB%E8%BB%80%E5%AE%8C%E5%85%A8%E6%94%BE%E4%BA%88%E5%8E%BB-feat-%E9%84%AD%E5%AE%9C%E8%BE%B2/1748096203?i=1748096462&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/49/26/73/49267343-b39f-e4c7-95ed-f941bf629aa4/mzaf_5922764717489869502.plus.aac.p.m4a
